"aspect","aspect_keyword","aspect_sentiment","confidence_score","flag","id","polarity","response_confidence_score","review_text","reviewer_id","reviewer_name","sentiment_keyword","source_name","source_review_id","star_rating","response"
"[customer-care]","[order]","[]","88.49","0","113673","positive","100.0","Hi Mike,Kindly help us with your Order ID for us to assist you better.","amzn1.account.AH4U6XTKSSMORQ2GF3UKQFDFEKZQ","Rahul K","[[kindly, better]]","Amazon India","Mx3AP6YIAV7BPBW","0","Dear Rahul K, Super happy to know pedigree was loved by your pet! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[customer-care, deals-offers, packaging, price, product-dimensions, product-overall, vfm, product-condition-damaged]","[order, customer care, discount, deal, deals, pack, tape, prices, price, pricing, weight, pedigree, price]","[[damaged]]","54.051","0","113952","positive","100.0","The discount keeps changing. I'll suggest you keep pedigree in your cart / save for later list or activate deal notification. The prices keep fluctuating. I check my cart frequently to track the price changes and order when the deal is right. it gets featured in lightning deals mostly  in the beginning of the months.The pricing depends on a lot of things like taxes , inflation etc and so they change. I have not checked the weight but do ensure the pack was not damaged and sealed with tape. the original sealed pack should not have weight changes.Be persistent with your efforts and try using customer care number also. hope you get redressal soon :)","amzn1.account.AFTQYJZYW6P5NOOJFBDKTDAQ5WMA","Karmic Voice","[[save, right, like, damaged]]","Amazon India","Mx3V34Q8DARKS2","0","Dear Karmic Voice, We're glad to know your pet enjoys pedigree. Do keep sharing more pedigree experiences with us. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[deals-offers, packaging, price, product-dimensions, product-overall, seller, vfm]","[discount, packing, packets, price, weight, pedigree, seller, price]","[]","-5.4875","0","113950","negative","100.0","I asked the detail of discount which infact should mean present one and I know in business things keep change due to various factors, however in case of pedigree it seems the escalation of price is abnormal and shows a kind of monopoly status, which I hate and force us to buy.Sir when I mention weight shortage it was just unopened new packing and without any tamper, you can ask pedigree about my email before, but I dont accept no reply sofar. I reported this to the seller for the two packets I bought. I have the copy of the email but need prompt attention and remedy..","amzn1.account.AF3Z4OMCBPXYSSRZY3K5DMSS4D3A","Raja","[[abnormal, hate, shortage, tamper, prompt]]","Amazon India","MxB87VOVYOJWCS","0","Dear Raja, We are sorry for the inconvenience caused. Please get in touch with us on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[food-ingredients, product-overall]","[meal, pedigree, dog, home food]","[]","-31.8566666667","0","113856","negative","100.0","Thank you for posting this. I started purchasing pedigree as a hassle-free alternative to home food. Obviously wrong decision and I have now decided to invest more time and efforts in cooking a decent meal for my dog.","amzn1.account.AEQBOGE4EWX54VMA6GBJ5XIZTOOA","kK","[[thank, wrong, decent, thank you]]","Amazon India","MxZWZXDM0HA7V1","0","Dear kK, We are sorry for the inconvenience caused. Please get in touch with us on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[]","[]","[]","94.87","0","106401","positive","98.0","My cat love it a lot with milk.","amzn1.account.AFU4ULEG3SQ6IANT6CLEQJOGEMYA","luna","[[love]]","Amazon India","R101LW94H94OKR","5.0 out of 5 stars","Dear luna,Thanks, we appreciate your feedback. "
"[delivery, product-overall]","[delivery, product]","[]","40.685","0","108394","positive","100.0","Standard branded product. Quality and delivery as committed.","amzn1.account.AFVQNOCPMTAZWFLWCKIMKUL2TGMQ","T J Joseph","[[standard]]","Amazon India","R1025DSYXL9IXN","4.0 out of 5 stars","Glad that your pet liked it T J Joseph. Thanks for writing back and keep sharing your wonderful experiences with us!"
"[product-overall]","[pedigree]","[]","47.725","0","107047","positive","100.0","Super quality pedigree","amzn1.account.AFRKXO5N7NNOGY3W5XYPQVHVHCNA","Amazon Customer","[[super]]","Amazon India","R10296QUMFSS9K","5.0 out of 5 stars","Dear Amazon Customer, We're pleased to know your dog appreciates pedigree. Do continue imparting more pedigree encounters to all of us. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[product-overall]","[puppy]","[]","88.49","0","107466","positive","100.0","good food for my puppy","amzn1.account.AHIYZZFQUND33KMQUBU73AYWFYMA","Sudharsan","[[good]]","Amazon India","R103H6KDH977HC","5.0 out of 5 stars","Dear Sudharsan, At pedigree clients are our top priority, happy to realize that we can satisfy that! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[product-overall]","[product]","[]","44.245","0","105996","positive","100.0","Good product","amzn1.account.AF4FCLLWPCP2CWJIPMASGIWI5NAA","Sandeep","[[good]]","Amazon India","R103YU1WWLELF","5.0","Dear Sandeep, Happy to know that your dog likes it! Keep sharing your wonderful experiences with all of us. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[food-ingredients, price]","[meal, priced]","[]","95.16","0","112566","positive","100.0","The best gravy meal for cats. Has good contents and priced well.","amzn1.account.AFKHXW6MMMZKRYLA2AJMKCDS45BA","Skhan","[[best, good, well, the best, has good]]","Amazon India","R107DKEFKQZ918","5.0","Dear Skhan, Glad to hear your wonderful experience with pedigree, do keep writing to us with more such awesome experiences! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[packaging, smell, product-overall]","[box, smell]","[[4 stars]]","31.7766666667","0","109514","positive","100.0","My cat goes crazy when I lift up the box of whiskas. She loves them, but sometimes when fed too much she pukes it off. 4 stars because of the smell :D","amzn1.account.AGENMW4LYRODIC44KI5QG4BEPGDQ","Kannan","[[crazy, loves, smell, too much]]","Amazon India","R107ICGXSLD8A2","4.0 out of 5 stars","We are happy that the product met your expectations! Thanks Kannan for leaving the review."
"[taste]","[taste]","[]","83.21","0","114412","positive","100.0","Cats in my home seem to like the taste of this one than any other cat foods.","amzn1.account.AEPXSMCQGFWFV4SALLFZBHISFKAA","AZZy","[[like]]","Amazon India","R107RCVZHM2VS1","5.0","Dear AZZy, We're upbeat that you and your dog are content with the product! Thanks for composing back! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[]","[]","[]","96.34","0","109258","positive","98.0","my kitten love to eat this food he loves verymuch..this is his favorite dish","amzn1.account.AHHSZDFVNH6OTW6WER46OIRBFXBA","Vipin vs","[[love, loves, favorite]]","Amazon India","R108REZSPWA8NX","5.0 out of 5 stars","Dear Vipin vs,Thanks, we appreciate your feedback. "
"[]","[]","[]","91.145","0","110498","positive","98.0","My pet doberman favourite food. We saved lot of time for preparation.","amzn1.account.AHSOZVQJTFWM7N4EYR4PMWN2YGMQ","Amazon Customer","[]","Amazon India","R10CI9WJD7VM0V","4.0 out of 5 stars","Dear Amazon Customer,Thanks, we appreciate your feedback. "
"[food-condition, product-overall]","[wet, pedigree]","[]","-84.8","0","112578","negative","100.0","My pet  eats only after adding pedigree wet grave.","amzn1.account.AGKPF6KND4EGUEPVRN37ZBARYXBA","K C Gupta","[]","Amazon India","R10E1MG97WZHNG","5.0","Dear K C Gupta, We are sorry for the difficulty caused to you and your pet. Please share your contact details so that we can help you better on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[delivery, product-overall]","[delivery, product]","[]","44.245","0","107093","positive","100.0","Product is good. But delivery is late.","amzn1.account.AH63LFNYEL73MDFJQMJRJFLHRCXQ","Amazon Customer","[[good]]","Amazon India","R10F2WVCC5YCSU","4.0 out of 5 stars","Dear Amazon Customer, thanks for your valuable feedback. We are happy that the product could reach your expectations."
"[product-overall]","[product]","[]","43.71","0","106197","positive","100.0","Nice product.","amzn1.account.AFCD2XGOWLKMAIZZ3SV647DBMIIQ","Customer","[[nice]]","Amazon India","R10F31F9F5129","5.0 out of 5 stars","Dear Customer, Cheerful to realize that the item could live upto the your desires! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[product-overall, service]","[product, service]","[]","79.26","0","106588","positive","100.0","Liked the product and service.","amzn1.account.AGRRFWRNVHNXTQP2FQ6P7UDO7ADQ","Amazon Customer","[[liked]]","Amazon India","R10FA82M0VBVNQ","4.0 out of 5 stars","Dear Amazon Customer, Happy to hear your great experience with pedigree, do continue keeping in touch with us with all the more such wonderful encounters! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[food-ingredients, packaging, product-overall, taste, product-duplicate]","[chicken, rice, grains, package, pedigree, dog, product, flavour]","[[genuine]]","24.465","0","109703","positive","100.0","I have just bought the pedigree senior dog chicken n rice flavour. I found that the grains are way different than it look in the several video on YouTube. Grains of my ordered package is just like small tablets seemed to be farce one. In internet the grains appeared to be grains like soyabin. So I am in doubt if I got a genuine product or not. So please clear my doubts.","amzn1.account.AFTMXRCWYNTUSVB4HW2IS5THY5TQ","Amazon Customer","[[like, farce, doubt, genuine, clear, doubts]]","Amazon India","R10FMA7B8UYUIH","2.0 out of 5 stars","Dear Amazon Customer, We're upbeat that you and your dog are content with the product! Thanks for composing back! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[product-overall, vfm]","[product, purchase]","[]","88.49","0","109300","positive","100.0","Good product for cat for caution please purchase for cat less than 1 year","amzn1.account.AE4ZKRERS2B5SQYTY7JO6ACM643Q","Yateesh G.","[[good, less]]","Amazon India","R10GXMVHACOXTZ","5.0 out of 5 stars","Dear Yateesh G., We're pleased to know your dog appreciates pedigree. Do continue imparting more pedigree encounters to all of us. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[food-ingredients]","[chicken]","[]","86.19","0","106427","positive","100.0","My cat loves this a lot - compared to the chicken version by drools","amzn1.account.AG73X6MXKHDRYKX3EHX2GNLHQJJA","Amit","[[loves]]","Amazon India","R10I3SHJM8DICS","5.0 out of 5 stars","Dear Amit, We at pedigree are happy to know how pedigree was preferred by your dog! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[product-overall]","[dog]","[]","43.095","0","110199","positive","100.0","dog loves it","amzn1.account.AH2GS3VPQFMPD7MNVLRKC7HGGUBQ","Rimi","[[loves]]","Amazon India","R10IN58ELEPVDP","5.0","Dear Rimi, We at pedigree are happy to know that the food was liked by your pet! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[food-condition, oral-health, product-overall, taste]","[hard, mouth, pedigree, taste]","[]","-32.462","0","106815","negative","100.0","None of my dogs ate it. When I served this to them, they walked past it. With pedigree in a plate on my hand, they ignored me so hard, I started to doubt my own existence. ""Just how bad can it be"", thinking this I decided to taste it.Ran around the house, putting whatever I could into my mouth just to get that taste out","amzn1.account.AG3II6VVN3VDLXCY3XAFE2ZWA63Q","Kul Doge","[[ignored, hard, doubt, bad]]","Amazon India","R10INVNPUTL88W","1.0 out of 5 stars","Dear Kul Doge, We apologize for the inconvenience caused. We request you to share your contact details so that we can assist you better on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[product-overall]","[product]","[]","98.84","0","106350","positive","98.0","This product was purchased as donation to my favorite animal shelter and the recipients loved it as expected!","amzn1.account.AFAYEFKSII7ORCKL3Y4K6UR5JKVA","Amazon Customer","[[favorite, loved, as expected]]","Amazon India","R10J7VMG57Z967","5.0 out of 5 stars","Dear Amazon Customer, Pleased to hear your great experience with pedigree, do continue keeping in touch with us with all the wonderful encounters! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[price, vfm]","[price, price]","[]","99.18","0","108370","positive","100.0","Very good, trusted food for dogs with best price.","amzn1.account.AHXYPG6GWQGJZRJQUTMWWZV6VACQ","AV!D","[[good, trusted, best, very good]]","Amazon India","R10JDOFYL6LS66","4.0 out of 5 stars","Dear AV!D, We're pleased to know your dog appreciates pedigree. Do continue imparting more pedigree encounters to all of us. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[etailers, packaging, price, product-overall, vfm, vfm]","[website, packaging, money, product, value]","[[good value, value for money, good value for money]]","59.82","0","108761","positive","100.0","The product was as described on the website. Arrived on time and packaging was good. No issues. No complaints. Satisfied with the product. Extremely good value for money.","amzn1.account.AGELORWP7LHA4VNVRZSTTBIDAVIA","Karl","[[good, issues, complaints, satisfied, on time, was good, extremely good]]","Amazon India","R10KX9405VAKU1","5.0 out of 5 stars","Dear Karl, At pedigree customers are our top priority, glad to know that we are able to live up to that! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[customer-care]","[order]","[]","0.0","0","107181","negative","100.0","Repeat order","amzn1.account.AG7KZ6BI72PSZTUCW6QJUL2YJ5HQ","Jose A","[]","Amazon India","R10LCSVXCE5RN4","4.0 out of 5 stars","Dear Jose A, Happy to know that your dog likes it! Keep sharing your wonderful experiences with all of us. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[packaging, product-overall, product-condition-damaged]","[packet, pedigree]","[[damage]]","-3.915","0","108846","negative","100.0","Packet of 10Kg pedigree was a hole, looks like made by a rat. About 500 grams of pedigree was less in the packet because of the damage.","amzn1.account.AFSZMHWBKPBNQE2H6CS33QUKNFLA","SATHISH KUMAR P","[[hole, like, less, damage]]","Amazon India","R10LQ8870OQSX0","4.0 out of 5 stars","Dear SATHISH KUMAR P, We apologize for the inconvenience caused. Please get in touch with us on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[product-overall]","[pedigree, puppy]","[]","85.38","0","109677","positive","100.0","It's good but my pet likes pedigree puppy even though she is 8 yrs old.","amzn1.account.AHQAE26KALNMODIK2W6PAUHFRTEQ","Abhishek Tiwari","[[good, likes]]","Amazon India","R10N2V3PE5Y6J3","3.0 out of 5 stars","Dear Abhishek Tiwari, Glad to hear your wonderful experience with pedigree, do keep writing to us with more such awesome experiences! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[product-overall, taste]","[dog, taste]","[]","-85.85","0","111158","negative","100.0","Not a good taste test for my dog. It didn't like","amzn1.account.AHPHULKDVFUZ34WD5IGPFHISMVQQ","ShanSand","[[good, like, a good]]","Amazon India","R10NCA0JO8I3PP","1.0","Dear ShanSand, We apologize for the inconvenience caused. Please get in touch with us on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[]","[]","[]","43.71","0","107369","positive","98.0","Nice","amzn1.account.AFZV6UTB7AT4EV7PUX7FYWHMVLDQ","Saurabh mishra","[]","Amazon India","R10NEPBS1ZFBHE","4.0 out of 5 stars","Dear Saurabh mishra,Thanks, we appreciate your feedback. "
"[product-overall]","[dog]","[]","86.19","0","110259","positive","100.0","My dog loves it","amzn1.account.AGBECCNPFQASXG5437RXEF3YTVRQ","Sheela","[[loves]]","Amazon India","R10OMNJAJN3CR9","3.0 out of 5 stars","Dear Sheela, Cheerful to realize that the item could live upto the your desires! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[]","[]","[]","44.245","0","108847","positive","98.0","GOOD","amzn1.account.AHRXQJV6TSTWYPFO6YC5GN4JOO5A","Veeru S","[]","Amazon India","R10Q40AKQ6RSAU","5.0 out of 5 stars","Dear Veeru S,Thanks, we appreciate your feedback. "
"[]","[]","[]","97.01","0","107987","positive","98.0","Nice & good quality","amzn1.account.AHJIJ7RH7NZVBBYO2NPE5JAPKJHA","hanumanth rao","[[nice, good]]","Amazon India","R10QC25285YXYO","4.0","Dear hanumanth rao,Thanks, we appreciate your feedback. "
"[]","[]","[]","44.245","0","108733","positive","98.0","GOOD.","amzn1.account.AFVV7ZWPLSTD5SJZS2JGAR6PYSKA","Vijay B. Mundhe","[]","Amazon India","R10QTY8LIAK5FP","4.0 out of 5 stars","Dear Vijay B. Mundhe,Thanks, we appreciate your feedback. "
"[health]","[]","[[healthy]]","93.835","0","106535","positive","96.0","My cats love it. they are eating this from about 2 years and they are so healthy as you can see In  the pictures.","amzn1.account.AE4VYCMOJT4QVF76MDI3HE3EZOYA","Tejsree","[[love, healthy]]","Amazon India","R10QYV31KEGS18","5.0 out of 5 stars","Dear Tejsree, Super excited to know pedigree was liked by your dog! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[]","[]","[]","43.095","0","106684","positive","98.0","cat loves it","amzn1.account.AHGEE772SHBN4HLZORWMUJOH4OQQ","Sharath David","[[loves]]","Amazon India","R10SJHAC8D9EHF","5.0 out of 5 stars","Dear Sharath David,Thanks, we appreciate your feedback. "
"[]","[]","[]","92.31","0","106648","positive","98.0","Its okay not bad...","amzn1.account.AGVE4TZSUMPTILKZKQBKYXTVV2IA","Sunaina","[[okay, bad]]","Amazon India","R10SMFWD9SV6VX","3.0 out of 5 stars","Dear Sunaina,Thanks, we appreciate your feedback. "
"[]","[]","[]","94.87","0","113427","positive","98.0","My three dogs love it","amzn1.account.AE24ASBH7N5TTG6665VTDZB3RGKA","Regina","[[love]]","Amazon India","R10SVI5E7V8ILP","5.0","Dear Regina,Thanks, we appreciate your feedback. "
"[]","[]","[]","43.71","0","109171","positive","98.0","Nice","amzn1.account.AFMTUNV7HOLLEJLWYHAAUXYGF4YA","Amazon Customer","[]","Amazon India","R10U1C4B7MBT72","5.0","Dear Amazon Customer,Thanks, we appreciate your feedback. "
"[health-vomit, product-overall, health-vomit]","[vomiting, dog]","[[vomiting]]","-93.33","0","113052","negative","100.0","My dog got a serious case of vomiting and diarrhea after eating this","amzn1.account.AEN52B5IEEGCOXJL4JRRBTVXQLUA","vishal kushwaha","[[vomiting]]","Amazon India","R10UQ37JMXJ32P","1.0","Dear vishal kushwaha, We are sorry for the difficulty caused to you and your pet. Please share your contact details so that we can help you better on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[]","[]","[]","0.0","0","108935","negative","98.0","vgood","amzn1.account.AFMZA4BUGOYGXNMCWPGRLGDMFO7Q","Amazon Customer","[]","Amazon India","R10UUCXVY2MSXY","5.0 out of 5 stars","Dear Amazon Customer,Thanks, we appreciate your feedback. "
"[]","[]","[]","44.245","0","109589","positive","98.0","good","amzn1.account.AHNUCIWZ7K3NPABGJ7T7YHTWHBBA","MUKESH","[]","Amazon India","R10V5PWU7TX8UV","5.0 out of 5 stars","Dear MUKESH,Thanks, we appreciate your feedback. "
"[]","[]","[]","44.245","0","109928","positive","98.0","good","amzn1.account.AEXSHNLGOMMWDFMYLTN7VOVOYO7A","neetha shetty","[]","Amazon India","R10VDX0VKDE3W5","5.0","Dear neetha shetty,Thanks, we appreciate your feedback. "
"[customer-care, product-overall, product-condition-damaged]","[order, product]","[[damaged]]","-82.14","0","110156","negative","100.0","The first order of the same product arrived damaged and was not accepted, but this one was fine and I shall reorder the product again.","amzn1.account.AEDNXA54UVV2ZBZF35Y5LIMHZSRQ","Jan Palmer","[[damaged, fine, fine and]]","Amazon India","R10W5A2ILBK2BX","5.0 out of 5 stars","Dear Jan Palmer, We apologize for the inconvenience caused. Please get in touch with us on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[]","[]","[]","44.245","0","107624","positive","98.0","Good","amzn1.account.AHEORLRXIJQP4KTPJIGCR2ZQ7Q4Q","divya s.","[]","Amazon India","R10WBDPJQHDKR2","4.0","Dear divya s.,Thanks, we appreciate your feedback. "
"[price, product-overall, vfm]","[price, dog, price]","[]","0.0","0","113322","negative","100.0","I need every month 8bag of 20kg chappi can there be a price difference  we need it for stray dog","amzn1.account.AH2JAMXQM5LYQVXRTBNTEGENKZVA","Amazon Customer","[]","Amazon India","R10WEGGRR30JD1","5.0","Dear Amazon Customer, We at pedigree are cheerful to realize that the nourishment was loved by your pet! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[food-ingredients]","[veg]","[]","98.55","0","107695","positive","98.0","I was not sure if my pet would like it but good that he liked it a lot just like the non veg ones.","amzn1.account.AE64TZ76PBRAZIXVTPDD63LB64IA","Amazon Customer","[[like, good, liked]]","Amazon India","R10WJNSL4DM6LL","4.0","We are happy that the product met your expectations! Thanks Amazon Customer for leaving the review."
"[]","[]","[]","44.245","0","107921","positive","98.0","Good","amzn1.account.AHLCBY6IGFBJ65AQ2K47JQJFX4JQ","Rajiv","[]","Amazon India","R10WWEV86PBK41","4.0","Dear Rajiv,Thanks, we appreciate your feedback. "
"[price]","[rate]","[]","90.23","0","108547","positive","100.0","Really nice according to its rate.","amzn1.account.AFKKZXY5W4QQ3FUPZSCVJHZIZ3MQ","Priyanka s.","[[nice, really nice]]","Amazon India","R10XD1ZXLZP2PF","5.0 out of 5 stars","Dear Priyanka s., Pleased to hear your great experience with pedigree, do continue keeping in touch with us with all the wonderful encounters! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[product-overall]","[product]","[]","47.27","0","110574","positive","100.0","Super Extreme Product. My dogs luving it.","amzn1.account.AHXG3KNFQQ2VD7L2LUPTHTDLOKNA","Vivek Bhat","[[super]]","Amazon India","R10Y5GW9400LEE","5.0 out of 5 stars","Dear Vivek Bhat, Happy to know that the product could live upto the your expectations! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[]","[]","[]","43.71","0","110382","positive","98.0","Nice..","amzn1.account.AHJDNJFQVVCWYEGEDSNEDOI45S7A","Kavitha","[]","Amazon India","R10YVRXQ0AFAIW","4.0 out of 5 stars","Dear Kavitha,Thanks, we appreciate your feedback. "
