"","confidence_score","id","polarity","response_confidence_score","review_text","reviewer_id","reviewer_name","source_name","source_review_id","star_rating","response","response_2","response_3","degree"
"10","44.245","106001","positive","98.0","thanks","amzn1.account.AGJCFXA3BQDVN7AVO2UJEYHVOMVQ","S Agarwal","Amazon India","R1KX316Y1IM9PS","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"11","61.12","106002","positive","99.35","My pug went for it and finished it in seconds which is so unlike him. So, it must have felt nice. I bought the small sized ones and I hope he'll continue to like this product.","amzn1.account.AFO454D27IIC7ZK75UIFPGMLCAAA","Ananth Prakash","Amazon India","R3GPO3XDR43FBF","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"12","44.245","106003","positive","0.0","good product.","amzn1.account.AGMQDEKQ2HRWI4SQP7LJSA7YTRQA","Amazon Customer","Amazon India","R1B3IUOZ9H2PCH","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"13","0.0","106004","negative","98.0","goood","amzn1.account.AFMZA4BUGOYGXNMCWPGRLGDMFO7Q","Amazon Customer","Amazon India","R1QXU2EL7V62TN","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"14","86.19","106005","positive","98.0","my dog loves it","amzn1.account.AF4OZJ2ICXPM2KV7HTJUQI7F3T2Q","Arun","Amazon India","RQKKR3J8E33NO","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"15","44.245","106006","positive","98.0","v gud","amzn1.account.AHDR2H3I2W7AIJP6ZCE6NYXEWOSQ","Prachi","Amazon India","R2PWBP26SG4GJP","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"16","99.05","106007","positive","98.7","My pug just love this she is eating this and enjoying very much thanx Amazon and pedigree nice product before order please check your dog age","amzn1.account.AEZ6JQKOWOOSO2YSVB6EO5DI6WMA","satish sutar","Amazon India","R1WQKCVNCFP576","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"17","87.34","106008","positive","100.0","Worth every penny. My little girl loves it.","amzn1.account.AGHKQHM3UWK2TQ4LCJB2PGJUQAYQ","Ashutosh Choksi","Amazon India","R2REIVYXH0WH90","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"18","94.87","106009","positive","98.0","my kids love it","amzn1.account.AEVMZW5DFBVAX46BJIQBSYJPZ2RQ","feroza","Amazon India","R2ZE6S6I9EU0EZ","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"19","0.0","106010","negative","98.0","gode","amzn1.account.AH2HI5S662LSLXLE3RSUUSUY3E6A","Amazon Customer","Amazon India","R3INKTUUPBPI3F","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"20","88.49","106011","positive","0.0","The product is good.","amzn1.account.AHU62WBW4CG7MXFKXWMC5HZTGPOA","Sathish Nair","Amazon India","R2XAE58HPFFUAU","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"21","98.33","106012","positive","98.0","Good, not only Dog even my cat loved it.","amzn1.account.AFHGW36CFGDK2ISJ2K55RR5IYDPQ","A Pachuau","Amazon India","R20QFNV7IX63HB","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"22","46.155","106013","positive","98.0","Yummy","amzn1.account.AHCNATYP7YS43GS5TJTBYWDOH4UA","Nicolas Reimen","Amazon India","R155H5OSEUUMTR","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"23","0.0","106014","negative","98.0","my dog not eating it","amzn1.account.AFQRHZF5E6EZL6SRZYV67FLBA53Q","Pushpraj","Amazon India","R1TMOPW0L1HCVT","2.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"24","48.175","106015","positive","98.0","I don't know what it's like,,personally. But the dogs love it!","amzn1.account.AFMNHMPC7URVYQFR53MZQFZJFBIQ","Kindle Customer","Amazon India","R2WTYYLR4RSNBN","4.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"25","96.15","106016","positive","98.0","My dog just loved this.","amzn1.account.AGKUBZZRNFC5FZGLDVZ466ZVIJPQ","Anupam Datta","Amazon India","R2LD72H7KISMI4","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"26","0.0","106017","negative","100.0","my dog got stomach infection after eating this","amzn1.account.AGK36YDQYBE7U2WP4R6MJWYS3IEQ","Amazon Customer","Amazon India","R119E45IM3RYO8","1.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"27","86.19","106018","positive","100.0","Our pup loves this!!!","amzn1.account.AESHUOKMKA5CAYMYQXVR4DGAUS6Q","Nagarajan","Amazon India","R2SNNJNHWKNT8Y","4.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"28","44.245","106019","positive","98.0","good","amzn1.account.AHY57BNVANYAJWF72KBUOFRSVLGQ","anuj goyal","Amazon India","R1HRKIT490CV1","3.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"29","98.39","106020","positive","99.35","Got the product in good condition , and my pet loved it, it helps to remove bad breath","amzn1.account.AF2YHFACZ4QUXCNSH3JPSXDPVEQQ","Anchit Bassi","Amazon India","R2K9X7LCI578JU","4.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"30","44.245","106021","positive","98.0","Good","amzn1.account.AG2X5YRLUW6UWFJDMAY63CUZPY2A","Amazon Customer","Amazon India","R2E1X9B04A2L9H","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"31","44.245","106022","positive","99.35","Good product for the dental health of your dog. But high on cost side.","amzn1.account.AEDMBUM3UJHIGGEFBXT4EL3DKUOQ","Manmohan Dewan","Amazon India","RLWGZENRB8K0A","3.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"32","13.274","106023","positive","99.35","Never buy this product... This product is pretty old and hard. Generally I buy this from my Vet and my pet loves it. This time my pet gave it a try and left it as is. This product is very hard and not eatable by small breed pets.","amzn1.account.AFLSWAVGPGFJSBXDKJK3EC5VNQRQ","Amarnath Ramapurath","Amazon India","R1WQC3MLHN2B2","1.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"33","86.19","106024","positive","98.0","MY MAN LOVES IT","amzn1.account.AHNZQHIHMR4ZSKOYAD3AP5RAOMRA","raghav r","Amazon India","RS438FJE5ESRK","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"34","44.245","106025","positive","98.0","Good treat","amzn1.account.AGT564HKXVNNHKMDGGNEWVF7OGAQ","Amazon Customer","Amazon India","R1QH3DC6WX8XTD","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"35","99.23","106026","positive","98.7","ALWAYS GO FOR PEDIGREE PRODUCTS WHICH IS LOVED BY ALL BREADS AS MY SHISTZU AND LHASA APSO 9MONTHS LOVE TO EATTHANK YOU AMAZON","amzn1.account.AGCAUUK6RNEC6CLODDS6V6SVLZLA","PRAVARDHMYSORE","Amazon India","R2MQBRLGCHR15T","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"36","40.27","106027","positive","98.0","Good one but I think it can be given to puppies under 2 or 3 months, cause my dog(4 months) swallowed the entire thing all at once!","amzn1.account.AFKFHGF26MKX3PLPKBJYRSND236A","Nisha","Amazon India","RRJF3L8502MAF","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"37","86.19","106028","positive","98.0","... they keep him happy, and I haven't noticed any detrimental effects.","amzn1.account.AEFKUH3UFTBBWPO2DJIGXJ72WL5Q","Amar","Amazon India","R2SQQIAZVKKXWJ","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"38","94.87","106029","positive","98.0","my dog love it","amzn1.account.AHGJHN2KJXXKM4GHJ2K5Z6XCYAMA","mahesh m. salekar","Amazon India","R1X7APTQJYFKAV","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"39","85.85","106030","positive","100.0","After having this, my pet does not emanate bad smell. Oral is good.","amzn1.account.AG77OFUONP372YMRALN3ZXLQX35Q","Amazon Customer","Amazon India","R1VG685I1S7NLS","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"40","86.73","106031","positive","-2.0","Dogs deserve a treat like this. And it happens to be good for their teeth! Good product.","amzn1.account.AFJZQSCPBEMFIZWSYPWHRI7VGBDA","Amazon Customer","Amazon India","R3VB9TUBL1GSHC","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"41","-10.81375","106032","negative","94.0","My dog like to eat it.But dog got throat infection after feeding it.and few vomits.After medical treatment(Tablets) it is recovered in 2,3 days..the food content is not good at all.And last thing it is just chewy thing,will not clean teeth.it will be nice for time-pass, if the food content is good.But the food content is not good at all.","amzn1.account.AH7BO5BZYTFPALCKXYA2DYTXS3XA","rajkumar","Amazon India","R1C88RZHUVQN1F","1.0 out of 5 stars","Dearrajkumar, We apologize for the inconvenience caused. We request you to share your contact details so that we can assist you better on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"42","94.87","106033","positive","98.0","my dog love these sticks","amzn1.account.AGDEITOLADE6QFDLFPFORDO3X7MA","Sumit","Amazon India","R35RY22WH0Z9ZU","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"43","47.085","106034","positive","98.0","Its amazing","amzn1.account.AGXIZAMB2WFDY4G6Q2JDCUU6TFHQ","Amazon Customer","Amazon India","R1IQKDXD4E8IF0","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"44","93.77","106035","positive","98.7","Excellent product / price / service","amzn1.account.AEAUIXUUNS44MKVQH4VQP7ZHRBXQ","Amazon Customer","Amazon India","R1FBRILDF0HJ9U","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"45","86.19","106036","positive","98.0","My dog loves it","amzn1.account.AFGVBARTYFRH7IKP5IGXKX4KOWVQ","Amazon Customer","Amazon India","RFRRFGCNF22BJ","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"46","28.93","106037","positive","99.35","Amazingly amazing. :) My dog is in love with this chew stick no doubt about it. I keep it in fridge just to avoid ants. The moment I'll open this packet he'll come wiggling his tale aww.. :') Leo (ADULT COCKER SPANIEL) my dog he'll jump and try to snatch it from me plus he'll chew in no time and for sure he'll be back for more :'D","amzn1.account.AGUBNERHG7KAWNVSND6LM2C52YHA","sameer bawa","Amazon India","R3BAXPM2V5UG5T","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"47","-29.14","106038","negative","99.35","Useless product. It sats it removes tartar. It does not do anything. I have been feeding my dog with this from past 2 months. Nothing happened. Waste of money.","amzn1.account.AHVOW67PBZILHHFVSKHQR6VA4P7Q","chandrika gupta","Amazon India","RXVZTVWVZGO6R","1.0 out of 5 stars","Dearchandrika gupta, We apologize for the inconvenience caused. Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"48","90.82","106039","positive","99.35","Its the best stick that any seller could offer, soft and chewy. Wish prices were economical would have bought a kilo every month for my pet.","amzn1.account.AGHDXWHSX3KLNBOEWZQURWSLCOMA","Amazon Customer","Amazon India","RWG681VVGOFTW","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"49","81.37","106040","positive","0.0","My dog crazy about this product.","amzn1.account.AGBTE5XJ6ZP4JFDIYSSCRUM5HA5A","Ankita Sarkar","Amazon India","R5NSKFSX9CTCD","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"50","44.245","106041","positive","98.0","Good one","amzn1.account.AETWUM6D64UHU4K5VXEXUBHJOVPQ","Balamaheswari","Amazon India","R332UNRZ8GLG5D","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"51","44.245","106042","positive","98.0","Good","amzn1.account.AGZNCQICP2GNMHLSPQKN6ZZKCICA","TDS Gupta","Amazon India","R181LUFBFW2ZAP","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"52","83.21","106043","positive","98.0","your dog will like it.","amzn1.account.AFUVHJNLO43MX5JGG2R2NEFLSX7Q","Amazon Customer","Amazon India","RK7GSSYQPFIRS","4.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"53","-36.2966666667","106044","negative","99.35","I will not recommend this to the dog lovers.. It's a horrible product that made my dog sick.. Check the ingredient list and you will know for yourself","amzn1.account.AGQKG4G6GBKHW4CSKGVLHGDXMSNA","Amazon Customer","Amazon India","RAQ4C8DUM6X87","2.0 out of 5 stars","DearAmazon Customer, We apologize for the inconvenience caused. Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"54","38.41","106045","positive","98.0","Ok","amzn1.account.AGU4BNNMABIE6LBKZUZ2CX2TZODQ","BALAJI PRAVEEN KUMAR","Amazon India","R21PIM3KJRKIVA","4.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"55","95.17","106046","positive","0.0","great product and the tartar is gone","amzn1.account.AEWHPTCVTFIBVPLYYK2PXOJX5EZA","Amazon Customer","Amazon India","RCWDXSJGDGK9D","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"56","79.26","106047","positive","100.0","My pug liked it","amzn1.account.AGLRPCEJOSRH7I6I3CIHXP7V74FA","Ashwith","Amazon India","R1OZAM98RIW8N7","4.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"57","87.42","106048","positive","0.0","Nice product for all dogs.","amzn1.account.AFPOUQRD7RTDCRRSNMWWTI2PRDQQ","Sunil","Amazon India","R2RVUFDP5SX87D","4.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"58","-87.42","106049","negative","100.0","my pug puppy puked after eating just one stick.","amzn1.account.AFDVWH7G3COJNIRNKIMJSJM4LTZA","Abhi Raman","Amazon India","R1SP7HR3Z14YHJ","1.0 out of 5 stars","DearAbhi Raman, We apologize for the bother caused. If you don't mind connect with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"59","94.87","106050","positive","98.0","My dogs love it","amzn1.account.AETII6FWUAIEJPMG5LCV7LEZMRQA","Amazon Customer","Amazon India","R366ZHDHY2OXV6","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"60","61.7366666667","106051","positive","98.0","My kid loves this stuff he cannot live without it , he needs daily one.love you Amazon thanks for caring about out pet also. We hardly get these stuff other places","amzn1.account.AG5ILQKMW4W6KTNZLNJA5P3DVSTQ","Mona L.","Amazon India","R3MUY03MB1L2M4","5","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"61","86.19","106052","positive","98.0","May lab loves this","amzn1.account.AF367ACNQXW7OFWQB7GTFDO2GHVA","Mithun Chhabria","Amazon India","R3UAWGC9Q5BYPH","5","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"62","94.87","106053","positive","98.0","The dogs love it","amzn1.account.AHZRW4NAHT6XNOXVTG3O4PTHXAMQ","Siddharth Thard","Amazon India","R3BU5P67L3BP46","5","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"63","86.19","106054","positive","98.0","My Lab loves it","amzn1.account.AEAHHAWKJTEPNJFTF5AV45XZPVPQ","Ashish J S","Amazon India","R3PYJ03NEN3HST","5","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"64","-83.21","106055","negative","98.0","My dogs don't like it.","amzn1.account.AGMM57WE4KRTSBHJUQBSOPV3DF7A","Dr. Shikha Kumar","Amazon India","R2XM7Y36URT53I","2.0 out of 5 stars","DearDr. Shikha Kumar, We apologize for the inconvenience caused. We request you to share your contact details so that we can assist you better on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"65","94.87","106056","positive","98.0","My dog love it","amzn1.account.AFQE2I45JXJAY4B77COTYZZMQ7CQ","Maxie Lewis","Amazon India","R1KSTJVSEXAK42","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"66","0.0","106057","negative","98.0","Bow, bow..woof, woof","amzn1.account.AFH7PHEMBYRHV6YOQPWI4ADFWYHA","Suneel","Amazon India","R3R0V01R2B0YUY","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"67","93.19","106058","positive","0.0","Very nice product. My dog loved it","amzn1.account.AGB75RTZ5CIQLXC7HYBBFUNZWGVQ","MOUMITA DAS","Amazon India","R1T7LDHQ0Z68ZW","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"68","10.3633333333","106059","positive","100.0","Dog loves it and it does seem to help with bad breath. The medium size is a little too big for my dog, so I cut it into two pieces and give him one in the morning and one in the night.  He's happier that way, and I get to save some money as well.","amzn1.account.AF3VFLFIMQBQ33R3XIVUEAEERSHA","MS","Amazon India","R2RRQBIWEH44P3","5","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"69","86.19","106060","positive","98.0","My Lab loves it","amzn1.account.AEAHHAWKJTEPNJFTF5AV45XZPVPQ","Ashish J S","Amazon India","R8TL85T7MM149","5","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"70","-39.63","106061","negative","98.0","Not liked enough","amzn1.account.AGMM57WE4KRTSBHJUQBSOPV3DF7A","Dr. Shikha Kumar","Amazon India","R1OBDICGH3D0F0","3","DearDr. Shikha Kumar, We are sorry for the difficulty caused to you and your pet. We ask for you to share your contact details with the goal that we can help you better on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"71","95.94","106062","positive","98.0","Like it good and tasty for pet","amzn1.account.AHSDKLMYNQZJJRPQAFJ62GZXD2DA","piyush","Amazon India","R35MFOQU69E2Q4","4","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"72","44.245","106063","positive","98.0","good one","amzn1.account.AGVAGUJB7VGQYJDJWTXLCUDVBZXA","Shyam Chaudhary","Amazon India","R3BMAHYLMWQ55I","5","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"73","44.245","106064","positive","98.0","good","amzn1.account.AGTVYA26DLIFV3OMWHIQSCAGY7LA","Pawan Kumar","Amazon India","R2CEJWVCNOMCKL","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"74","86.19","106065","positive","0.0","bought whole product@137 happy as always","amzn1.account.AHOWD47P62UNG4RU4YJA5OF2V4VA","Adv. Surya Kaplish","Amazon India","R3RWEJCWDF5YIJ","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"75","40.2275","106066","positive","99.35","My Doberman puppy just loves it. It is his daily treat at the end of the day. After his last meal and nature's calls, he obediently enters his cage, sits and waits there oozing all goodness. Ask why? Because he knows that I will give him his Pedigree Dentastix.I recommend it for all owners with naughty puppies, esp. ones which do not want to enter their cages to retire for the night. It works like magic.","amzn1.account.AE6IKJTQPUT27XDAKDAH6YONMOJA","Raj","Amazon India","R1411AQX47STMF","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"76","97.62","106067","positive","100.0","He takes it joyfully and chews with dedication :)","amzn1.account.AF7KS6D5S4QEXFPDX2GTCGBJ6XNA","Zed Arya","Amazon India","R2KEQ1B06F1EIV","5","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"77","44.245","106068","positive","98.0","good","amzn1.account.AFT5GXGZXWU3OFLQVAJDHRUZK3OA","Ramesh","Amazon India","R295PS2UUEKIR0","3","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"78","0.0","106069","negative","98.0","No please.","amzn1.account.AGMDVDM2PA7R2DHSOALRJFVFCLAA","Arun Pawar","Amazon India","R2NCROGNCQ0Q0E","4","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"79","94.87","106070","positive","98.0","My cats love to eat this","amzn1.account.AFMVLQDONDQ4XE2ZLYIVIVAS2W4A","Gouhar Azeez","Amazon India","R28TESA7DTHUA4","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"80","31.6333333333","106071","positive","100.0","My cats love the tuna flavor best of all. The other flavors aren't as yummy as this one according to them. I think this one has the strongest ""fishy"" smell.","amzn1.account.AGUSZ4BJSJEGSPUXKP2WAHRJHHNA","Bargain Hunter","Amazon India","R2UEVZ0VJW7S1A","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"81","95.94","106072","positive","100.0","My cat loves it and it looks healthy with silky fur.","amzn1.account.AG5MWZUHSOA6Q3DNB6Z5J7BJQLGQ","M.S.Renukha","Amazon India","R16TNN92I4HK3H","5","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"82","85.85","106073","positive","100.0","Arrived in time at a good price. The cats like it.","amzn1.account.AFGDFQ4B2OLQKBQLA3KZJTKACDNQ","Roshen Dalal","Amazon India","R29PZWJYBTL5LX","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"83","86.19","106074","positive","98.0","My cat loves it!","amzn1.account.AGWN6MSC6FIAYS6GO6BQSDM7A5ZQ","Roopa","Amazon India","R2VANZXPS6RC2R","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"84","44.245","106075","positive","0.0","Good product","amzn1.account.AEBLC2FXS7NH3DSNDNJOII2AD5BA","SUNIL","Amazon India","R2RS78D87Y0TJN","3.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"85","47.585","106076","positive","98.0","Superb","amzn1.account.AECBY3TYXSYGL3DZJ6SQHWL33PAQ","L.Martin Tony JeyaSundar","Amazon India","R7ATEF42WWXV8","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"86","97.305","106077","positive","99.35","Best cat food for every breeds of cat. Cheap priceI am having cat its around 4 yrs oldI mix whiskas and royal caninRoyal canin is the best food but whishkas comes afterAfterall price wise its a great product","amzn1.account.AHT3ADPQEG6PECJF77XH2EDEPNDQ","Dhaval","Amazon India","R346GN8N32PW34","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"87","97.98","106078","positive","0.0","Good product, my cats love it!","amzn1.account.AEE4DCHLK3UH4LVREJCM62HPYODQ","Mandy Mu","Amazon India","R3HY5W4MM4MH54","5.0 out of 5 stars","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"88","94.87","106079","positive","98.0","My cat love it so much..","amzn1.account.AGEDNI42N3POTU7WV74LSR6LQP2Q","Amazon Customer","Amazon India","R1B4WKP4UOQF22","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"89","94.87","106080","positive","98.0","My cats love  to have it .","amzn1.account.AGBW2YCKIDBTV3RI5VNWARCVDDVA","Amazon Customer","Amazon India","R2N9V28JI1IO9U","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"90","86.19","106081","positive","98.0","My cat loves it.","amzn1.account.AE4XTRE3O3UB2BOG2GI4RMDLDIOA","Danish","Amazon India","RKRJ9KSMUDEI8","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"91","45.495","106082","positive","98.0","Very good","amzn1.account.AEI7PBV735JQ3TR2SXBJJMQ6VZBA","Alakananda sinha","Amazon India","RID874IH6AED","5.0 out of 5 stars","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
