aspect,aspect_keyword,flag,id,review_text,reviewer_id,reviewer_name,sentiment_score,source_name,source_review_id,star_rating,response
[],[],0,106013.0,Yummy,amzn1.account.AHCNATYP7YS43GS5TJTBYWDOH4UA,Nicolas Reimen,46.155,Amazon India,R155H5OSEUUMTR,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106014.0,my dog not eating it,amzn1.account.AFQRHZF5E6EZL6SRZYV67FLBA53Q,Pushpraj,0.0,Amazon India,R1TMOPW0L1HCVT,2.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106015.0,"I don't know what it's like,,personally. But the dogs love it!",amzn1.account.AFMNHMPC7URVYQFR53MZQFZJFBIQ,Kindle Customer,49.925000000000004,Amazon India,R2WTYYLR4RSNBN,4.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106016.0,My dog just loved this.,amzn1.account.AGKUBZZRNFC5FZGLDVZ466ZVIJPQ,Anupam Datta,99.83999999999999,Amazon India,R2LD72H7KISMI4,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[health_impact],[stomach],0,106017.0,my dog got stomach infection after eating this,amzn1.account.AGK36YDQYBE7U2WP4R6MJWYS3IEQ,Amazon Customer,0.0,Amazon India,R119E45IM3RYO8,1.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[dog-user-breed],[pup],0,106018.0,Our pup loves this!!!,amzn1.account.AESHUOKMKA5CAYMYQXVR4DGAUS6Q,Nagarajan,98.94,Amazon India,R2SNNJNHWKNT8Y,4.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106019.0,good,amzn1.account.AHY57BNVANYAJWF72KBUOFRSVLGQ,anuj goyal,44.245000000000005,Amazon India,R1HRKIT490CV1,3.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[all, health_impact]","[product, breath]",0,106020.0,"Got the product in good condition , and my pet loved it, it helps to remove bad breath",amzn1.account.AF2YHFACZ4QUXCNSH3JPSXDPVEQQ,Anchit Bassi,99.99,Amazon India,R2K9X7LCI578JU,4.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106021.0,Good,amzn1.account.AG2X5YRLUW6UWFJDMAY63CUZPY2A,Amazon Customer,44.245000000000005,Amazon India,R2E1X9B04A2L9H,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, health_impact, pricing]","[product, health, dental health, cost]",0,106022.0,Good product for the dental health of your dog. But high on cost side.,amzn1.account.AEDMBUM3UJHIGGEFBXT4EL3DKUOQ,Manmohan Dewan,49.915,Amazon India,RLWGZENRB8K0A,3.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
"[all, condition_of_product, dog-user-breed]","[product, hard, breed]",0,106023.0,Never buy this product... This product is pretty old and hard. Generally I buy this from my Vet and my pet loves it. This time my pet gave it a try and left it as is. This product is very hard and not eatable by small breed pets.,amzn1.account.AFLSWAVGPGFJSBXDKJK3EC5VNQRQ,Amarnath Ramapurath,18.954,Amazon India,R1WQC3MLHN2B2,1.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106024.0,MY MAN LOVES IT,amzn1.account.AHNZQHIHMR4ZSKOYAD3AP5RAOMRA,raghav r,98.94,Amazon India,RS438FJE5ESRK,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106025.0,Good treat,amzn1.account.AGT564HKXVNNHKMDGGNEWVF7OGAQ,Amazon Customer,48.355,Amazon India,R1QH3DC6WX8XTD,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[all],"[pedigree, products, amazon]",0,106026.0,ALWAYS GO FOR PEDIGREE PRODUCTS WHICH IS LOVED BY ALL BREADS AS MY SHISTZU AND LHASA APSO 9MONTHS LOVE TO EATTHANK YOU AMAZON,amzn1.account.AGCAUUK6RNEC6CLODDS6V6SVLZLA,PRAVARDHMYSORE,100.0,Amazon India,R2MQBRLGCHR15T,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[dog-user-breed],[puppies],0,106027.0,"Good one but I think it can be given to puppies under 2 or 3 months, cause my dog(4 months) swallowed the entire thing all at once!",amzn1.account.AFKFHGF26MKX3PLPKBJYRSND236A,Nisha,99.65,Amazon India,RRJF3L8502MAF,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106028.0,"... they keep him happy, and I haven't noticed any detrimental effects.",amzn1.account.AEFKUH3UFTBBWPO2DJIGXJ72WL5Q,Amar,99.86,Amazon India,R2SQQIAZVKKXWJ,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106029.0,my dog love it,amzn1.account.AHGJHN2KJXXKM4GHJ2K5Z6XCYAMA,mahesh m. salekar,99.65,Amazon India,R1X7APTQJYFKAV,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[smell],[smell],0,106030.0,"After having this, my pet does not emanate bad smell. Oral is good.",amzn1.account.AG77OFUONP372YMRALN3ZXLQX35Q,Amazon Customer,99.14,Amazon India,R1VG685I1S7NLS,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, dont_reply]",[product],3,106031.0,Dogs deserve a treat like this. And it happens to be good for their teeth! Good product.,amzn1.account.AFJZQSCPBEMFIZWSYPWHRI7VGBDA,Amazon Customer,98.64333333333333,Amazon India,R3VB9TUBL1GSHC,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106032.0,"My dog like to eat it.But dog got throat infection after feeding it.and few vomits.After medical treatment(Tablets) it is recovered in 2,3 days..the food content is not good at all.And last thing it is just chewy thing,will not clean teeth.it will be nice for time-pass, if the food content is good.But the food content is not good at all.",amzn1.account.AH7BO5BZYTFPALCKXYA2DYTXS3XA,rajkumar,-12.519999999999998,Amazon India,R1C88RZHUVQN1F,1.0 out of 5 stars,"Dearrajkumar, We are sorry for the inconvenience caused.Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
[],[],0,106033.0,my dog love these sticks,amzn1.account.AGDEITOLADE6QFDLFPFORDO3X7MA,Sumit,99.78,Amazon India,R35RY22WH0Z9ZU,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106034.0,Its amazing,amzn1.account.AGXIZAMB2WFDY4G6Q2JDCUU6TFHQ,Amazon Customer,49.220000000000006,Amazon India,R1IQKDXD4E8IF0,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[all, pricing]","[product, service, price]",0,106035.0,Excellent product / price / service,amzn1.account.AEAUIXUUNS44MKVQH4VQP7ZHRBXQ,Amazon Customer,99.81,Amazon India,R1FBRILDF0HJ9U,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106036.0,My dog loves it,amzn1.account.AFGVBARTYFRH7IKP5IGXKX4KOWVQ,Amazon Customer,98.94,Amazon India,RFRRFGCNF22BJ,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[appearance, convienience, dog-user-breed]","[chew, packet, cocker, spaniel, cocker spaniel]",0,106037.0,Amazingly amazing. :) My dog is in love with this chew stick no doubt about it. I keep it in fridge just to avoid ants. The moment I'll open this packet he'll come wiggling his tale aww.. :') Leo (ADULT COCKER SPANIEL) my dog he'll jump and try to snatch it from me plus he'll chew in no time and for sure he'll be back for more :'D,amzn1.account.AGUBNERHG7KAWNVSND6LM2C52YHA,sameer bawa,19.903999999999996,Amazon India,R3BAXPM2V5UG5T,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[all, pricing]","[product, money]",0,106038.0,Useless product. It sats it removes tartar. It does not do anything. I have been feeding my dog with this from past 2 months. Nothing happened. Waste of money.,amzn1.account.AHVOW67PBZILHHFVSKHQR6VA4P7Q,chandrika gupta,-32.446666666666665,Amazon India,RXVZTVWVZGO6R,1.0 out of 5 stars,"Dearchandrika gupta, We are sorry for the difficulty caused to you and your pet. We ask for you to share your contact details with the goal that we can help you better on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[all, condition_of_product, information, offers_n_discounts, pricing]","[seller, soft, kilo, offer, prices]",0,106039.0,"Its the best stick that any seller could offer, soft and chewy. Wish prices were economical would have bought a kilo every month for my pet.",amzn1.account.AGHDXWHSX3KLNBOEWZQURWSLCOMA,Amazon Customer,99.94000000000001,Amazon India,RWG681VVGOFTW,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
"[all, dont_reply]",[product],3,106040.0,My dog crazy about this product.,amzn1.account.AGBTE5XJ6ZP4JFDIYSSCRUM5HA5A,Ankita Sarkar,99.3,Amazon India,R5NSKFSX9CTCD,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106041.0,Good one,amzn1.account.AETWUM6D64UHU4K5VXEXUBHJOVPQ,Balamaheswari,48.355,Amazon India,R332UNRZ8GLG5D,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106042.0,Good,amzn1.account.AGZNCQICP2GNMHLSPQKN6ZZKCICA,TDS Gupta,44.245000000000005,Amazon India,R181LUFBFW2ZAP,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106043.0,your dog will like it.,amzn1.account.AFUVHJNLO43MX5JGG2R2NEFLSX7Q,Amazon Customer,99.11999999999999,Amazon India,RK7GSSYQPFIRS,4.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, nutrition_ingredientst]","[product, ingredient]",0,106044.0,I will not recommend this to the dog lovers.. It's a horrible product that made my dog sick.. Check the ingredient list and you will know for yourself,amzn1.account.AGQKG4G6GBKHW4CSKGVLHGDXMSNA,Amazon Customer,-55.63,Amazon India,RAQ4C8DUM6X87,2.0 out of 5 stars,"DearAmazon Customer, We are sorry for the difficulty caused to you and your pet. We ask for you to share your contact details with the goal that we can help you better on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
[],[],0,106045.0,Ok,amzn1.account.AGU4BNNMABIE6LBKZUZ2CX2TZODQ,BALAJI PRAVEEN KUMAR,38.41,Amazon India,R21PIM3KJRKIVA,4.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[all, dont_reply]",[product],3,106046.0,great product and the tartar is gone,amzn1.account.AEWHPTCVTFIBVPLYYK2PXOJX5EZA,Amazon Customer,99.89,Amazon India,RCWDXSJGDGK9D,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[dog-user-breed],[pug],0,106047.0,My pug liked it,amzn1.account.AGLRPCEJOSRH7I6I3CIHXP7V74FA,Ashwith,98.2,Amazon India,R1OZAM98RIW8N7,4.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, dont_reply]",[product],3,106048.0,Nice product for all dogs.,amzn1.account.AFPOUQRD7RTDCRRSNMWWTI2PRDQQ,Sunil,99.39,Amazon India,R2RVUFDP5SX87D,4.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[dog-user-breed],"[pug, puppy]",0,106049.0,my pug puppy puked after eating just one stick.,amzn1.account.AFDVWH7G3COJNIRNKIMJSJM4LTZA,Abhi Raman,-99.81,Amazon India,R1SP7HR3Z14YHJ,1.0 out of 5 stars,"DearAbhi Raman, We are sorry for the inconvenience caused.Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
[],[],0,106050.0,My dogs love it,amzn1.account.AETII6FWUAIEJPMG5LCV7LEZMRQA,Amazon Customer,99.65,Amazon India,R366ZHDHY2OXV6,5,Our customers are our first priority. We are happy that the food was liked by your dog!
[all],[amazon],0,106051.0,"My kid loves this stuff he cannot live without it , he needs daily one.love you Amazon thanks for caring about out pet also. We hardly get these stuff other places",amzn1.account.AG5ILQKMW4W6KTNZLNJA5P3DVSTQ,Mona L.,66.63666666666667,Amazon India,R3MUY03MB1L2M4,5,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106052.0,May lab loves this,amzn1.account.AF367ACNQXW7OFWQB7GTFDO2GHVA,Mithun Chhabria,98.94,Amazon India,R3UAWGC9Q5BYPH,5,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106053.0,The dogs love it,amzn1.account.AHZRW4NAHT6XNOXVTG3O4PTHXAMQ,Siddharth Thard,99.65,Amazon India,R3BU5P67L3BP46,5,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106054.0,My Lab loves it,amzn1.account.AEAHHAWKJTEPNJFTF5AV45XZPVPQ,Ashish J S,98.94,Amazon India,R3PYJ03NEN3HST,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106055.0,My dogs don't like it.,amzn1.account.AGMM57WE4KRTSBHJUQBSOPV3DF7A,Dr. Shikha Kumar,-99.11999999999999,Amazon India,R2XM7Y36URT53I,2.0 out of 5 stars,"DearDr. Shikha Kumar, We are sorry for the inconvenience caused.Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
[],[],0,106056.0,My dog love it,amzn1.account.AFQE2I45JXJAY4B77COTYZZMQ7CQ,Maxie Lewis,99.65,Amazon India,R1KSTJVSEXAK42,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106057.0,"Bow, bow..woof, woof",amzn1.account.AFH7PHEMBYRHV6YOQPWI4ADFWYHA,Suneel,0.0,Amazon India,R3R0V01R2B0YUY,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
"[all, dont_reply]",[product],3,106058.0,Very nice product. My dog loved it,amzn1.account.AGB75RTZ5CIQLXC7HYBBFUNZWGVQ,MOUMITA DAS,99.25500000000001,Amazon India,R1T7LDHQ0Z68ZW,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[dog-user-breed, health_impact, information, pricing]","[medium, breath, size, size, money]",0,106059.0,"Dog loves it and it does seem to help with bad breath. The medium size is a little too big for my dog, so I cut it into two pieces and give him one in the morning and one in the night.  He's happier that way, and I get to save some money as well.",amzn1.account.AF3VFLFIMQBQ33R3XIVUEAEERSHA,MS,30.773333333333337,Amazon India,R2RRQBIWEH44P3,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106060.0,My Lab loves it,amzn1.account.AEAHHAWKJTEPNJFTF5AV45XZPVPQ,Ashish J S,98.94,Amazon India,R8TL85T7MM149,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106061.0,Not liked enough,amzn1.account.AGMM57WE4KRTSBHJUQBSOPV3DF7A,Dr. Shikha Kumar,-48.435,Amazon India,R1OBDICGH3D0F0,3,"DearDr. Shikha Kumar, We apologize for the inconvenience caused. Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
[],[],0,106062.0,Like it good and tasty for pet,amzn1.account.AHSDKLMYNQZJJRPQAFJ62GZXD2DA,piyush,99.91,Amazon India,R35MFOQU69E2Q4,4,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106063.0,good one,amzn1.account.AGVAGUJB7VGQYJDJWTXLCUDVBZXA,Shyam Chaudhary,48.355,Amazon India,R3BMAHYLMWQ55I,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106064.0,good,amzn1.account.AGTVYA26DLIFV3OMWHIQSCAGY7LA,Pawan Kumar,44.245000000000005,Amazon India,R2CEJWVCNOMCKL,5,Our customers are our first priority. We are happy that the food was liked by your dog!
"[all, dont_reply]",[product],3,106065.0,bought whole product@137 happy as always,amzn1.account.AHOWD47P62UNG4RU4YJA5OF2V4VA,Adv. Surya Kaplish,99.52,Amazon India,R3RWEJCWDF5YIJ,5,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[all, dog-user-breed, nutrition_ingredientst]","[pedigree, puppy, puppies, meal]",0,106066.0,"My Doberman puppy just loves it. It is his daily treat at the end of the day. After his last meal and nature's calls, he obediently enters his cage, sits and waits there oozing all goodness. Ask why? Because he knows that I will give him his Pedigree Dentastix.I recommend it for all owners with naughty puppies, esp. ones which do not want to enter their cages to retire for the night. It works like magic.",amzn1.account.AE6IKJTQPUT27XDAKDAH6YONMOJA,Raj,37.675000000000004,Amazon India,R1411AQX47STMF,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[appearance],[chews],0,106067.0,He takes it joyfully and chews with dedication :),amzn1.account.AF7KS6D5S4QEXFPDX2GTCGBJ6XNA,Zed Arya,99.97,Amazon India,R2KEQ1B06F1EIV,5,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106068.0,good,amzn1.account.AFT5GXGZXWU3OFLQVAJDHRUZK3OA,Ramesh,44.245000000000005,Amazon India,R295PS2UUEKIR0,3,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106069.0,No please.,amzn1.account.AGMDVDM2PA7R2DHSOALRJFVFCLAA,Arun Pawar,0.0,Amazon India,R2NCROGNCQ0Q0E,4,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106070.0,My cats love to eat this,amzn1.account.AFMVLQDONDQ4XE2ZLYIVIVAS2W4A,Gouhar Azeez,99.85000000000001,Amazon India,R28TESA7DTHUA4,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[smell, taste]","[smell, flavor, flavors]",0,106071.0,"My cats love the tuna flavor best of all. The other flavors aren't as yummy as this one according to them. I think this one has the strongest ""fishy"" smell.",amzn1.account.AGUSZ4BJSJEGSPUXKP2WAHRJHHNA,Bargain Hunter,33.290000000000006,Amazon India,R2UEVZ0VJW7S1A,5,Our customers are our first priority. We are happy that the food was liked by your dog!
[health_impact],[fur],0,106072.0,My cat loves it and it looks healthy with silky fur.,amzn1.account.AG5MWZUHSOA6Q3DNB6Z5J7BJQLGQ,M.S.Renukha,99.96000000000001,Amazon India,R16TNN92I4HK3H,5,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[pricing],[price],0,106073.0,Arrived in time at a good price. The cats like it.,amzn1.account.AFGDFQ4B2OLQKBQLA3KZJTKACDNQ,Roshen Dalal,99.18,Amazon India,R29PZWJYBTL5LX,5,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106074.0,My cat loves it!,amzn1.account.AGWN6MSC6FIAYS6GO6BQSDM7A5ZQ,Roopa,98.94,Amazon India,R2VANZXPS6RC2R,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
"[all, dont_reply]",[product],3,106075.0,Good product,amzn1.account.AEBLC2FXS7NH3DSNDNJOII2AD5BA,SUNIL,48.355,Amazon India,R2RS78D87Y0TJN,3.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106076.0,Superb,amzn1.account.AECBY3TYXSYGL3DZJ6SQHWL33PAQ,L.Martin Tony JeyaSundar,47.585,Amazon India,R7ATEF42WWXV8,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, dog-user-breed, pricing]","[product, breeds, price, price wise]",0,106077.0,Best cat food for every breeds of cat. Cheap priceI am having cat its around 4 yrs oldI mix whiskas and royal caninRoyal canin is the best food but whishkas comes afterAfterall price wise its a great product,amzn1.account.AHT3ADPQEG6PECJF77XH2EDEPNDQ,Dhaval,99.96000000000001,Amazon India,R346GN8N32PW34,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, dont_reply]",[product],3,106078.0,"Good product, my cats love it!",amzn1.account.AEE4DCHLK3UH4LVREJCM62HPYODQ,Mandy Mu,99.94,Amazon India,R3HY5W4MM4MH54,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106079.0,My cat love it so much..,amzn1.account.AGEDNI42N3POTU7WV74LSR6LQP2Q,Amazon Customer,99.85000000000001,Amazon India,R1B4WKP4UOQF22,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106080.0,My cats love  to have it .,amzn1.account.AGBW2YCKIDBTV3RI5VNWARCVDDVA,Amazon Customer,99.89,Amazon India,R2N9V28JI1IO9U,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
